log_ids,experiment_name,step,metric,value
202509071425064081220,11_tmax10,initial_solution,solution_generation_time,11.455643892288208
202509071425064081221,11_tmax10,initial_solution,total_generated_columns,121.0
202509071425137163140,11_tmax10,graph_build,graph_build_time,7.073497295379639
202509071425137163141,11_tmax10,graph_build,number_of_nodes,520.0
202509071425137163142,11_tmax10,graph_build,number_of_edges,117326.0
202509071430045732230,11_tmax10,column_generation,column_generation_time,290.8559105396271
202509071430045732231,11_tmax10,column_generation,number_of_iterations,30.0
202509071430045732232,11_tmax10,column_generation,start_objective,151670.10008003408
202509071430045732233,11_tmax10,column_generation,optimal_value,149951.76008003473
202509071430045732234,11_tmax10,column_generation,total_columns_generated,400.0
202509071430045732235,11_tmax10,column_generation,total_reduced_cost,-10137912.99095951
202509071442376932550,11_tmax10,genetic_algorithm,ga_execution_time,753.1010222434998
202509071442376932551,11_tmax10,genetic_algorithm,best_cost,113650.54503186676
202509071442376932552,11_tmax10,genetic_algorithm,best_fitness,5.537098560354375
202509071442376932553,11_tmax10,genetic_algorithm,best_v,81.0
202509071442376932554,11_tmax10,genetic_algorithm,best_r,51.0
202509071442376932555,11_tmax10,genetic_algorithm,best_u,143.0
202509071442376932556,11_tmax10,genetic_algorithm,best_s,39.0
