log_ids,experiment_name,step,metric,value
202509140330385405520,25_tmax15,initial_solution,solution_generation_time,2.7302303314208984
202509140330385405521,25_tmax15,initial_solution,total_generated_columns,110.0
202509140330440007600,25_tmax15,graph_build,graph_build_time,5.277281045913696
202509140330440007601,25_tmax15,graph_build,number_of_nodes,520.0
202509140330440007602,25_tmax15,graph_build,number_of_edges,117326.0
202509140332183953800,25_tmax15,column_generation,column_generation_time,94.39461994171143
202509140332183953801,25_tmax15,column_generation,number_of_iterations,15.0
202509140332183953802,25_tmax15,column_generation,start_objective,142302.93617659592
202509140332183953803,25_tmax15,column_generation,optimal_value,141527.06417660174
202509140332183953804,25_tmax15,column_generation,total_columns_generated,243.0
202509140332183953805,25_tmax15,column_generation,total_reduced_cost,-1879578.5775202771
202509140336262923550,25_tmax15,genetic_algorithm,ga_execution_time,247.88800930976868
202509140336262923551,25_tmax15,genetic_algorithm,best_cost,112709.97566200733
202509140336262923552,25_tmax15,genetic_algorithm,best_fitness,11.876484560570072
202509140336262923553,25_tmax15,genetic_algorithm,best_v,78.0
202509140336262923554,25_tmax15,genetic_algorithm,best_r,0.0
202509140336262923555,25_tmax15,genetic_algorithm,best_u,37.0
202509140336262923556,25_tmax15,genetic_algorithm,best_s,38.0
