Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_10_i_10,2025-08-10 19:30:10,169661.37,114,inf,0.4522,0.076,64.047,0.001,64.5912
2,exp_0_zmin_50_k_10_i_10,2025-08-10 19:31:15,169661.37,124,0.0,0.459,0.062,76.5808,0.002,77.1037
3,exp_0_zmin_50_k_10_i_10,2025-08-10 19:32:32,169661.37,134,0.0,0.3892,0.06,66.0115,0.001,66.4637
4,exp_0_zmin_50_k_10_i_10,2025-08-10 19:33:38,169661.37,144,0.0,0.4639,0.0696,106.4559,0.002,106.9919
5,exp_0_zmin_50_k_10_i_10,2025-08-10 19:35:25,169661.37,154,0.0,0.477,0.097,84.2115,0.002,84.7885
6,exp_0_zmin_50_k_10_i_10,2025-08-10 19:36:50,169661.37,164,0.0,0.4346,0.0697,57.9008,0.002,58.4086
7,exp_0_zmin_50_k_10_i_10,2025-08-10 19:37:48,169661.37,174,0.0,0.4876,0.0658,71.3576,0.002,71.9164
8,exp_0_zmin_50_k_10_i_10,2025-08-10 19:39:00,169661.37,184,0.0,0.522,0.082,97.9097,0.001,98.5167
9,exp_0_zmin_50_k_10_i_10,2025-08-10 19:40:39,169661.37,194,0.0,0.5438,0.056,57.247,0.002,57.8507
10,exp_0_zmin_50_k_10_i_10,2025-08-10 19:41:37,169661.37,204,0.0,0.568,0.0912,67.7847,0.002,68.4484
11,exp_0_zmin_50_k_10_i_10,2025-08-10 19:42:45,169661.37,214,0.0,0.5599,0.0,0.0,0.0,0.5609
