Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_9_zmin_50_k_30_i_10,2025-08-09 20:43:52,171545.59,115,inf,0.4627,0.07,84.0028,0.003,84.5404
2,exp_9_zmin_50_k_30_i_10,2025-08-09 20:45:17,171545.59,145,0.0,0.556,0.07,132.411,0.002,133.0406
3,exp_9_zmin_50_k_30_i_10,2025-08-09 20:47:30,171545.59,175,0.0,0.4971,0.1049,74.7046,0.004,75.3145
4,exp_9_zmin_50_k_30_i_10,2025-08-09 20:48:45,171545.59,205,0.0,0.5164,0.06,90.635,0.003,91.2144
5,exp_9_zmin_50_k_30_i_10,2025-08-09 20:50:16,171545.59,235,0.0,0.611,0.058,91.2902,0.004,91.9662
6,exp_9_zmin_50_k_30_i_10,2025-08-09 20:51:48,171545.59,265,0.0,0.6656,0.062,92.6807,0.002,93.4123
7,exp_9_zmin_50_k_30_i_10,2025-08-09 20:53:22,171545.59,295,0.0,0.7004,0.059,63.0601,0.0033,63.8229
8,exp_9_zmin_50_k_30_i_10,2025-08-09 20:54:26,171545.59,325,0.0,0.8813,0.0804,80.0147,0.003,80.981
9,exp_9_zmin_50_k_30_i_10,2025-08-09 20:55:47,171545.59,353,0.0,0.8485,0.075,77.0619,0.003,77.99
10,exp_9_zmin_50_k_30_i_10,2025-08-09 20:57:05,171545.59,383,0.0,0.9628,0.058,68.6516,0.003,69.6784
11,exp_9_zmin_50_k_30_i_10,2025-08-09 20:58:15,171195.38,413,350.21,1.0207,0.072,85.1266,0.0032,86.2236
12,exp_9_zmin_50_k_30_i_10,2025-08-09 20:59:41,171195.38,443,0.0,1.0512,0.0688,67.5025,0.004,68.6275
13,exp_9_zmin_50_k_30_i_10,2025-08-09 21:00:50,171195.38,473,0.0,1.2273,0.0565,83.7747,0.003,85.0626
14,exp_9_zmin_50_k_30_i_10,2025-08-09 21:02:15,171195.38,503,0.0,1.2443,0.059,94.7409,0.004,96.0482
15,exp_9_zmin_50_k_30_i_10,2025-08-09 21:03:51,171195.38,533,0.0,1.2689,0.061,70.7614,0.0026,72.0962
16,exp_9_zmin_50_k_30_i_10,2025-08-09 21:05:03,171195.38,553,0.0,1.3519,0.059,61.8942,0.0035,63.3097
17,exp_9_zmin_50_k_30_i_10,2025-08-09 21:06:06,171195.38,583,0.0,1.5329,0.059,67.3728,0.004,68.9697
18,exp_9_zmin_50_k_30_i_10,2025-08-09 21:07:15,171195.38,613,0.0,1.4673,0.0626,52.5705,0.003,54.1054
19,exp_9_zmin_50_k_30_i_10,2025-08-09 21:08:10,171195.38,639,0.0,1.5793,0.0587,45.5214,0.003,47.1634
20,exp_9_zmin_50_k_30_i_10,2025-08-09 21:08:57,171195.38,669,0.0,1.7231,0.0651,51.8806,0.003,53.6721
21,exp_9_zmin_50_k_30_i_10,2025-08-09 21:09:51,171155.06,688,40.32,1.7712,0.0,0.0,0.0,1.7734
