Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_6_zmin_50_k_30_i_10,2025-08-09 19:38:21,178135.6,122,inf,0.4133,0.064,58.6439,0.003,59.1253
2,exp_6_zmin_50_k_30_i_10,2025-08-09 19:39:20,178135.6,152,0.0,0.5256,0.0736,101.5382,0.002,102.1404
3,exp_6_zmin_50_k_30_i_10,2025-08-09 19:41:03,177825.71,171,309.89,0.518,0.0669,79.9938,0.0044,80.5831
4,exp_6_zmin_50_k_30_i_10,2025-08-09 19:42:23,177825.71,201,0.0,0.5995,0.0764,76.3027,0.003,76.9839
5,exp_6_zmin_50_k_30_i_10,2025-08-09 19:43:40,177825.71,231,0.0,0.611,0.079,85.7717,0.002,86.4707
6,exp_6_zmin_50_k_30_i_10,2025-08-09 19:45:07,177825.71,251,0.0,0.7235,0.071,121.0288,0.003,121.8292
7,exp_6_zmin_50_k_30_i_10,2025-08-09 19:47:09,177825.71,280,0.0,0.8473,0.147,50.612,0.003,51.6113
8,exp_6_zmin_50_k_30_i_10,2025-08-09 19:48:00,177745.07,309,80.64,0.8156,0.0926,92.5662,0.002,93.479
9,exp_6_zmin_50_k_30_i_10,2025-08-09 19:49:34,177704.75,339,40.32,0.985,0.069,69.4091,0.0034,70.468
10,exp_6_zmin_50_k_30_i_10,2025-08-09 19:50:45,177664.43,369,40.32,1.1216,0.064,67.1125,0.005,68.3036
11,exp_6_zmin_50_k_30_i_10,2025-08-09 19:51:53,177664.43,387,0.0,1.1131,0.076,75.4934,0.003,76.6864
12,exp_6_zmin_50_k_30_i_10,2025-08-09 19:53:10,177664.43,408,0.0,1.1008,0.068,51.4351,0.004,52.6089
13,exp_6_zmin_50_k_30_i_10,2025-08-09 19:54:02,177664.43,438,0.0,1.1187,0.0779,68.4945,0.0047,69.6979
14,exp_6_zmin_50_k_30_i_10,2025-08-09 19:55:12,177664.43,463,0.0,1.3141,0.0681,72.9878,0.004,74.376
15,exp_6_zmin_50_k_30_i_10,2025-08-09 19:56:27,177664.43,493,0.0,1.399,0.0822,69.9489,0.003,71.4348
16,exp_6_zmin_50_k_30_i_10,2025-08-09 19:57:38,177664.43,523,0.0,1.4427,0.065,61.3882,0.003,62.9008
17,exp_6_zmin_50_k_30_i_10,2025-08-09 19:58:41,177664.43,553,0.0,1.4677,0.0801,83.6039,0.003,85.1563
18,exp_6_zmin_50_k_30_i_10,2025-08-09 20:00:06,177664.43,576,0.0,1.5369,0.0,0.0,0.0,1.5379
