,experiment_name,best_cost,best_fitness,best_r,best_s,best_u,best_v
0,GA_CG_GA,206389.23457119425,0.0885932153932608,35.0,137.0,13.0,180.0
0,GA_CG_GA,184233.9961911939,0.0660330437081856,101.0,76.0,15.0,140.0
0,GA_CG_GA,191501.34797024395,0.1052728213494858,48.0,112.0,8.0,160.0
0,GA_CG_GA,204872.21977628145,0.0778555571859963,52.0,129.0,13.0,176.0
0,GA_CG_GA,194340.31315268096,0.0981066624337297,43.0,117.0,12.0,164.0
