,experiment_name,number_of_iterations,optimal_value,start_objective,total_columns_generated,total_reduced_cost
0,GA_CG_GA,13.0,148143.99695823248,148508.60495823246,293.0,-4303186.760673414
0,GA_CG_GA,138.0,105984.3731512129,147348.57439032872,3428.0,-8450975.137415962
0,GA_CG_GA,13.0,144811.35986543135,145597.2591964581,292.0,-2689727.84091504
0,GA_CG_GA,13.0,147295.80330776435,147731.83530776436,315.0,-2718052.4783412134
0,GA_CG_GA,13.0,147948.48101730627,148217.05441607666,312.0,-3810087.020117168
