Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:01,40975.36,31,inf,0.1917,0.0139,5.5144,0.0,5.72
2,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:07,40975.36,39,0.0,0.2223,0.0111,4.3669,0.0158,4.6166
3,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:11,40975.36,49,0.0,0.1766,0.0324,8.2394,0.0045,8.4622
4,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:20,40975.36,59,0.0,0.1911,0.0092,3.0654,0.0,3.2667
5,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:23,40975.36,69,0.0,0.1861,0.01,6.3499,0.0055,6.5586
6,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:29,40975.36,79,0.0,0.2233,0.0142,8.3932,0.0,8.634
7,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:38,40975.36,89,0.0,0.1905,0.0089,4.744,0.0,4.9435
8,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:43,40894.72,99,80.64,0.2021,0.0084,3.8639,0.0,4.0765
9,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:47,40894.72,108,0.0,0.2306,0.0123,4.0342,0.0,4.2771
10,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:51,40894.72,118,0.0,0.2028,0.0129,7.355,0.0157,7.5872
11,exp_0_zmin_50_k_10_i_10,2025-08-14 21:17:59,40894.72,128,0.0,0.2087,0.0086,3.547,0.001,3.7654
12,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:03,40894.72,138,0.0,0.2159,0.0179,4.2378,0.0,4.4754
13,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:07,40894.72,148,0.0,0.2542,0.0116,6.5489,0.0,6.8147
14,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:14,40894.72,158,0.0,0.216,0.0101,4.8462,0.0,5.0723
15,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:19,40894.72,168,0.0,0.2151,0.0103,11.3778,0.0,11.6032
16,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:31,40894.72,178,0.0,0.2241,0.0115,5.6846,0.0,5.9202
17,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:37,40894.72,184,0.0,0.2404,0.0103,5.9748,0.0,6.2256
18,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:43,40101.03,194,793.7,0.2459,0.0115,5.8814,0.0,6.1545
19,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:49,39752.36,201,348.67,0.2661,0.0105,6.9183,0.0,7.1959
20,exp_0_zmin_50_k_10_i_10,2025-08-14 21:18:56,39173.84,211,578.51,0.2827,0.0198,4.7184,0.0,5.0257
21,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:01,38440.81,220,733.03,0.2505,0.0096,6.3723,0.0,6.6327
22,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:08,38027.71,230,413.1,0.2839,0.0098,3.14,0.0,3.4338
23,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:11,37861.01,240,166.7,0.3051,0.0104,3.7558,0.0,4.0723
24,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:15,37749.19,248,111.82,0.2855,0.0132,5.071,0.0,5.3696
25,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:21,37634.85,257,114.34,0.292,0.0083,3.4945,0.0129,3.8138
26,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:25,37489.85,267,145.0,0.294,0.0125,4.0269,0.0,4.3385
27,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:29,37407.76,277,82.1,0.3131,0.0429,5.7096,0.0011,6.0666
28,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:35,37199.16,285,208.6,0.3123,0.016,5.9821,0.0,6.3109
29,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:41,36958.14,295,241.01,0.3411,0.0097,5.558,0.0,5.9207
30,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:47,36843.53,305,114.62,0.3163,0.0157,6.0298,0.0,6.3646
31,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:54,36821.37,315,22.15,0.3307,0.0092,4.4235,0.0,4.7797
32,exp_0_zmin_50_k_10_i_10,2025-08-14 21:19:58,36765.4,325,55.98,0.3173,0.0099,5.4157,0.0,5.7587
33,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:04,36693.05,335,72.35,0.336,0.0106,5.1127,0.0,5.4593
34,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:10,36490.89,345,202.16,0.33,0.0086,5.2499,0.0,5.5922
35,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:15,36450.86,355,40.03,0.3614,0.0083,4.5427,0.0,4.9199
36,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:20,36338.83,365,112.03,0.3691,0.0104,4.8472,0.0016,5.2288
37,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:25,36222.21,375,116.62,0.3518,0.0122,4.7223,0.0011,5.0873
38,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:31,36103.84,382,118.36,0.3869,0.01,3.1474,0.0,3.5458
39,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:34,36088.86,392,14.98,0.3742,0.0093,5.4229,0.0016,5.8215
40,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:40,36047.9,401,40.96,0.3529,0.0135,4.9142,0.0,5.2814
41,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:45,35979.83,407,68.07,0.3787,0.0103,3.6023,0.0,3.9926
42,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:49,35923.85,417,55.99,0.3626,0.0086,4.3387,0.0164,4.7273
43,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:54,35906.44,425,17.41,0.3866,0.0144,4.6732,0.001,5.0777
44,exp_0_zmin_50_k_10_i_10,2025-08-14 21:20:59,35883.33,435,23.11,0.4129,0.0105,3.7596,0.0,4.1849
45,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:03,35876.29,441,7.04,0.4026,0.0095,3.255,0.0,3.6671
46,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:07,35802.79,451,73.49,0.368,0.0095,3.8497,0.0,4.231
47,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:11,35791.84,458,10.95,0.4254,0.0105,4.1391,0.0014,4.5764
48,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:16,35777.78,466,14.06,0.4766,0.0083,4.0188,0.0038,4.5102
49,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:20,35757.22,476,20.56,0.4023,0.01,4.2439,0.0,4.6572
50,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:25,35738.34,485,18.88,0.4033,0.0032,3.5604,0.0,3.9668
51,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:29,35723.63,492,14.71,0.4953,0.0094,3.4654,0.0,3.9711
52,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:33,35697.15,499,26.48,0.4905,0.0128,3.1168,0.0,3.6201
53,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:36,35691.53,505,5.62,0.4487,0.0095,3.4895,0.0009,3.9496
54,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:40,35676.63,510,14.9,0.4579,0.0096,4.0087,0.0,4.4772
55,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:45,35619.46,515,57.17,0.4824,0.0182,4.4594,0.0161,4.9846
56,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:50,35611.08,525,8.39,0.4299,0.0116,4.0503,0.0,4.4933
57,exp_0_zmin_50_k_10_i_10,2025-08-14 21:21:54,35587.51,532,23.57,0.4476,0.0071,4.7341,0.0,5.1898
58,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:00,35587.51,535,0.0,0.4449,0.0087,4.4979,0.001,4.9556
59,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:04,35583.91,540,3.6,0.4234,0.0142,4.3201,0.0,4.7589
60,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:09,35578.98,543,4.93,0.4468,0.0105,4.4567,0.0,4.914
61,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:14,35570.3,549,8.68,0.4384,0.0095,5.1187,0.016,5.5835
62,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:20,35560.79,556,9.52,0.4289,0.0103,4.8081,0.0,5.2473
63,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:25,35560.26,562,0.53,0.437,0.0091,4.2921,0.0,4.7391
64,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:30,35559.52,566,0.74,0.4865,0.0133,4.8254,0.0,5.3252
65,exp_0_zmin_50_k_10_i_10,2025-08-14 21:22:35,35559.32,570,0.2,0.4431,0.0,0.0,0.0,0.4441
