Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_0_zmin_50_k_30_i_10,2025-08-10 20:39:43,184073.43,119,inf,0.4069,0.0895,101.2561,0.003,101.7584
2,exp_0_zmin_50_k_30_i_10,2025-08-10 20:41:25,184073.43,149,0.0,0.4155,0.075,176.6963,0.0037,177.1922
3,exp_0_zmin_50_k_30_i_10,2025-08-10 20:44:22,184073.43,177,0.0,0.4978,0.079,110.3076,0.004,110.8907
4,exp_0_zmin_50_k_30_i_10,2025-08-10 20:46:13,184073.43,204,0.0,0.497,0.079,133.9404,0.003,134.5224
5,exp_0_zmin_50_k_30_i_10,2025-08-10 20:48:28,184073.43,231,0.0,0.5679,0.0788,119.8346,0.002,120.4848
6,exp_0_zmin_50_k_30_i_10,2025-08-10 20:50:28,184073.43,244,0.0,0.6685,0.0868,110.1345,0.003,110.8927
7,exp_0_zmin_50_k_30_i_10,2025-08-10 20:52:19,184073.43,274,0.0,0.6809,0.0901,90.5571,0.0022,91.3319
8,exp_0_zmin_50_k_30_i_10,2025-08-10 20:53:51,184073.43,291,0.0,0.7492,0.1154,98.4393,0.003,99.3099
9,exp_0_zmin_50_k_30_i_10,2025-08-10 20:55:30,184073.43,321,0.0,0.7839,0.0819,106.5095,0.003,107.3812
10,exp_0_zmin_50_k_30_i_10,2025-08-10 20:57:17,184073.43,348,0.0,0.8662,0.0868,102.6276,0.0025,103.5832
11,exp_0_zmin_50_k_30_i_10,2025-08-10 20:59:01,184073.43,366,0.0,0.9695,0.0,0.0,0.0,0.9705
