Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
055,23,2025-10-26 02:46:58,111163.38,2726,243.38,1.3949,0.1287,8.5079,0.0094,0.0094,10.0408
056,23,2025-10-26 02:46:58,111016.85,2752,146.53,1.5521,0.1357,8.6125,0.0117,0.0117,10.3212
057,23,2025-10-26 02:46:58,110896.61,2771,120.24,1.3902,0.1469,8.4723,0.0108,0.0108,10.0232
058,23,2025-10-26 02:46:58,110720.36,2803,176.25,1.3988,0.1991,8.368,0.0143,0.0143,9.9802
059,23,2025-10-26 02:46:58,110522.77,2821,197.59,1.2994,0.1339,8.0465,0.0066,0.0066,9.4865
060,23,2025-10-26 02:46:58,110327.41,2848,195.36,1.503,0.1212,8.8823,0.0077,0.0077,10.5446
061,23,2025-10-26 02:46:58,110554.89,2869,227.48,1.2641,0.1281,9.55,0.002,0.002,10.9539
062,23,2025-10-26 02:46:58,110022.72,2892,532.17,1.5032,0.1713,8.2503,0.0105,0.0105,9.9413
063,23,2025-10-26 02:46:58,109834.98,2909,187.74,1.2478,0.1974,9.0953,0.0058,0.0058,10.5511
064,23,2025-10-26 02:46:58,109695.58,2936,139.4,1.4753,0.1361,9.5182,0.0077,0.0077,11.1374
065,23,2025-10-26 02:46:58,109470.21,2966,225.37,1.2831,0.1142,8.7125,0.0065,0.0065,10.1177
066,23,2025-10-26 02:46:58,109330.83,2986,139.37,1.353,0.1911,9.3146,0.0159,0.0159,10.8775
067,23,2025-10-26 02:46:58,109201.77,3017,129.06,1.4344,0.2177,9.6552,0.0157,0.0157,11.3382
068,23,2025-10-26 02:46:58,108983.46,3039,218.31,1.163,0.1073,7.9222,0.0147,0.0147,9.2072
069,23,2025-10-26 02:46:58,108841.81,3074,141.65,1.2132,0.1126,8.8306,0.008,0.008,10.1657
070,23,2025-10-26 02:46:58,108609.05,3095,232.76,1.2724,0.1239,8.5364,0.0038,0.0038,9.9363
071,23,2025-10-26 02:46:58,108757.68,3106,148.63,1.1767,0.1004,7.7697,0.0164,0.0164,9.0667
072,23,2025-10-26 02:46:58,108518.36,3134,239.32,1.2838,0.0984,8.6548,0.0,0.0,10.0396
073,23,2025-10-26 02:46:58,108357.76,3160,160.59,1.2626,0.1145,8.3192,0.0074,0.0074,9.7036
074,23,2025-10-26 02:46:58,108181.24,3200,176.52,1.3743,0.1214,8.9509,0.0197,0.0197,10.4695
075,23,2025-10-26 02:46:58,107994.44,3240,186.8,1.2724,0.1365,9.1531,0.0058,0.0058,10.5709
076,23,2025-10-26 02:46:58,107835.43,3277,159.01,1.5227,0.1284,9.4313,0.0137,0.0137,11.1
077,23,2025-10-26 02:46:58,107697.78,3301,137.65,1.2816,0.0977,8.8363,0.006,0.006,10.2274
078,23,2025-10-26 02:46:58,107551.88,3331,145.9,1.3632,0.21,9.0638,0.002,0.002,10.6665
079,23,2025-10-26 02:46:58,107367.27,3355,184.62,1.5302,0.1042,8.6915,0.0,0.0,10.3279
080,23,2025-10-26 02:46:58,107211.01,3390,156.25,1.4273,0.1145,9.0127,0.0,0.0,10.5564
081,23,2025-10-26 02:46:58,107633.6,3414,422.58,1.3543,0.1081,8.1729,0.0098,0.0098,9.6495
082,23,2025-10-26 02:46:58,107264.46,3438,369.14,1.4353,0.0991,8.1423,0.0071,0.0071,9.6883
083,23,2025-10-26 02:46:58,107061.13,3466,203.32,1.3209,0.0805,8.2997,0.0066,0.0066,9.7288
084,23,2025-10-26 02:46:58,106926.03,3497,135.1,1.3577,0.0913,7.9836,0.0038,0.0038,9.4386
