Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Filter_time,Iteration_time
1,exp_4_zmin_50_k_30_i_10,2025-08-09 19:01:54,174036.02,119,inf,0.3495,0.062,67.9375,0.003,68.356
2,exp_4_zmin_50_k_30_i_10,2025-08-09 19:03:03,174036.02,149,0.0,0.405,0.0753,74.8404,0.0027,75.3245
3,exp_4_zmin_50_k_30_i_10,2025-08-09 19:04:18,174036.02,179,0.0,0.5144,0.057,66.7853,0.003,67.3607
4,exp_4_zmin_50_k_30_i_10,2025-08-09 19:05:26,173726.13,209,309.89,0.58,0.0572,81.6536,0.003,82.2964
5,exp_4_zmin_50_k_30_i_10,2025-08-09 19:06:48,173416.25,239,309.89,0.5954,0.058,88.1914,0.003,88.8478
6,exp_4_zmin_50_k_30_i_10,2025-08-09 19:08:17,173416.25,269,0.0,0.6595,0.058,99.4458,0.003,100.1663
7,exp_4_zmin_50_k_30_i_10,2025-08-09 19:09:57,173416.25,299,0.0,0.7551,0.0597,83.3777,0.003,84.1966
8,exp_4_zmin_50_k_30_i_10,2025-08-09 19:11:21,173416.25,329,0.0,0.7904,0.1347,70.4224,0.003,71.3525
9,exp_4_zmin_50_k_30_i_10,2025-08-09 19:12:33,173416.25,353,0.0,0.9358,0.065,72.078,0.002,73.0828
10,exp_4_zmin_50_k_30_i_10,2025-08-09 19:13:46,173416.25,383,0.0,0.98,0.07,51.3476,0.003,52.4016
11,exp_4_zmin_50_k_30_i_10,2025-08-09 19:14:38,173375.93,403,40.32,0.9611,0.0705,57.046,0.002,58.0817
12,exp_4_zmin_50_k_30_i_10,2025-08-09 19:15:36,173375.93,433,0.0,1.0078,0.059,64.4953,0.002,65.5681
13,exp_4_zmin_50_k_30_i_10,2025-08-09 19:16:42,173335.61,452,40.32,1.2929,0.0722,72.8803,0.0027,74.2492
14,exp_4_zmin_50_k_30_i_10,2025-08-09 19:17:56,173335.61,482,0.0,1.118,0.059,99.2338,0.004,100.4168
15,exp_4_zmin_50_k_30_i_10,2025-08-09 19:19:37,173335.61,512,0.0,1.2035,0.0,0.0,0.0,1.2045
