Experiment,K_Value,Optimal_Value,Final_Columns,Iterations,Total_Time,Initial_Solution_Gen_Time,Column_Gen_Time
Exp_1,50,15952.831694242377,291,36,60.836600000000004,0.0,60.836600000000004
Exp_2,50,15952.831694242377,291,36,62.90477539215088,0.050675392150878906,62.8541
