Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time,Set_Number,K_Value,Tmax_Value
001,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,37766.43,53,0.0,0.173,0.007,2.1116,0.0,0.001,2.2996,2,50,10.0
002,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,37628.19,66,138.24,0.1312,0.0077,1.3301,0.001,0.002,1.476,2,50,10.0
003,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,31531.51,76,6096.67,0.1927,0.007,1.3482,0.0,0.0,1.5533,2,50,10.0
004,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,29696.82,86,1834.7,0.1493,0.003,1.6649,0.0005,0.0007,1.824,2,50,10.0
005,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,26677.0,97,3019.81,0.1674,0.004,1.5155,0.0003,0.0,1.6915,2,50,10.0
006,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,22873.43,106,3803.57,0.223,0.008,1.6974,0.001,0.001,1.9384,2,50,10.0
007,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,21179.73,113,1693.7,0.1754,0.004,1.7904,0.0,0.001,1.9769,2,50,10.0
008,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,20498.97,126,680.76,0.1638,0.0055,1.2417,0.0012,0.001,1.4187,2,50,10.0
009,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,19165.48,133,1333.49,0.2731,0.0072,1.9199,0.0,0.001,2.2084,2,50,10.0
010,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,18198.24,140,967.25,0.2826,0.0067,1.4113,0.0011,0.0,1.7226,2,50,10.0
011,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,17585.86,147,612.38,0.1788,0.004,1.1483,0.0,0.0019,1.3414,2,50,10.0
012,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,17581.6,155,4.26,0.2269,0.006,1.256,0.001,0.001,1.4983,2,50,10.0
013,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,17172.66,169,408.94,0.1891,0.008,1.245,0.0005,0.0005,1.4484,2,50,10.0
014,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16905.66,176,267.0,0.2428,0.007,0.945,0.0,0.001,1.2031,2,50,10.0
015,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16658.7,184,246.95,0.1974,0.005,1.48,0.001,0.0013,1.6907,2,50,10.0
016,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16566.03,187,92.68,0.2123,0.007,1.1473,0.0,0.001,1.3726,2,50,10.0
017,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16489.89,197,76.14,0.2086,0.005,1.3115,0.0,0.0,1.5331,2,50,10.0
018,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16394.97,201,94.91,0.197,0.005,1.0724,0.001,0.0,1.2825,2,50,10.0
019,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16279.04,210,115.94,0.2169,0.005,1.3034,0.001,0.0,1.5323,2,50,10.0
020,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16188.39,218,90.65,0.2312,0.005,1.2733,0.001,0.0,1.5186,2,50,10.0
021,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16143.42,231,44.97,0.2704,0.007,1.0761,0.0,0.001,1.3643,2,50,10.0
022,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16087.93,239,55.49,0.2103,0.0061,1.6196,0.001,0.0,1.8443,2,50,10.0
023,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16067.7,245,20.23,0.4616,0.0185,1.5126,0.0008,0.0006,2.0162,2,50,10.0
024,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16039.78,248,27.93,0.2602,0.005,1.1363,0.001,0.0,1.4094,2,50,10.0
025,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,16029.38,255,10.4,0.2177,0.005,1.5727,0.0,0.0,1.8044,2,50,10.0
026,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15966.57,263,62.81,0.2728,0.0043,1.409,0.0,0.0,1.6951,2,50,10.0
027,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15953.74,268,12.83,0.2764,0.0047,1.5612,0.0,0.001,1.8535,2,50,10.0
028,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15953.07,275,0.68,0.2174,0.005,1.5774,0.0,0.0,1.8098,2,50,10.0
029,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15953.07,277,0.0,0.3521,0.004,1.5552,0.0,0.001,1.9231,2,50,10.0
030,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,279,0.24,0.2406,0.006,1.3804,0.001,0.0,1.6354,2,50,10.0
031,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,281,0.0,0.2324,0.006,1.6548,0.0013,0.001,1.9025,2,50,10.0
032,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,283,0.0,0.3194,0.005,1.7309,0.0,0.0004,2.0643,2,50,10.0
033,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,285,0.0,0.2563,0.005,1.3868,0.001,0.0,1.6561,2,50,10.0
034,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,287,0.0,0.2784,0.0061,1.5466,0.001,0.0,1.8426,2,50,10.0
035,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,289,0.0,0.2592,0.005,1.5344,0.0,0.001,1.8128,2,50,10.0
036,exp001_z50_k50_i9_tmax10.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:33:56,15952.83,291,0.0,0.2246,0.007,1.4298,0.0005,0.0,1.6724,2,50,10.0
001,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,37766.43,53,0.0,0.1437,0.0051,2.506,0.0,0.0,2.6589,2,50,30.0
002,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,37628.19,66,138.24,0.2131,0.008,2.0301,0.001,0.001,2.2552,2,50,30.0
003,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,31531.51,76,6096.67,0.1898,0.0052,1.1363,0.001,0.001,1.3364,2,50,30.0
004,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,29696.82,86,1834.7,0.2078,0.004,2.2672,0.0,0.0,2.4846,2,50,30.0
005,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,26677.0,97,3019.81,0.1657,0.007,1.7667,0.001,0.001,1.9464,2,50,30.0
006,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,22873.43,106,3803.57,0.1833,0.005,1.7434,0.0012,0.0011,1.937,2,50,30.0
007,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,21179.73,113,1693.7,0.2275,0.0073,2.1816,0.001,0.001,2.4227,2,50,30.0
008,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,20498.97,126,680.76,0.2326,0.007,1.3616,0.0,0.001,1.6062,2,50,30.0
009,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,19165.48,133,1333.49,0.2138,0.009,1.7122,0.0,0.0,1.9479,2,50,30.0
010,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,18198.24,140,967.25,0.1767,0.006,1.257,0.001,0.0009,1.4466,2,50,30.0
011,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17585.86,147,612.38,0.1847,0.007,1.2893,0.0,0.001,1.4884,2,50,30.0
012,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17581.6,155,4.26,0.178,0.005,1.2692,0.0,0.001,1.4582,2,50,30.0
013,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,17172.66,169,408.94,0.2696,0.0047,1.1977,0.0004,0.0,1.4778,2,50,30.0
014,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16905.66,176,267.0,0.1872,0.0075,1.0016,0.002,0.001,1.2076,2,50,30.0
015,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16658.7,184,246.95,0.2358,0.005,1.3406,0.001,0.0015,1.5903,2,50,30.0
016,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16566.03,187,92.68,0.2933,0.009,1.3217,0.001,0.001,1.6379,2,50,30.0
017,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16489.89,197,76.14,0.208,0.008,1.1393,0.0,0.001,1.3624,2,50,30.0
018,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16394.97,201,94.91,0.1985,0.008,1.2099,0.0,0.0004,1.4262,2,50,30.0
019,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16279.04,210,115.94,0.1985,0.005,1.1456,0.001,0.0013,1.3584,2,50,30.0
020,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16188.39,218,90.65,0.2896,0.0073,1.5676,0.001,0.001,1.8749,2,50,30.0
021,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16143.42,231,44.97,0.2712,0.006,1.1427,0.0,0.001,1.4269,2,50,30.0
022,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16087.93,239,55.49,0.2271,0.006,1.5871,0.0012,0.001,1.8324,2,50,30.0
023,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16067.7,245,20.23,0.2933,0.007,1.4126,0.001,0.0,1.7249,2,50,30.0
024,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16039.78,248,27.93,0.216,0.006,1.1925,0.0,0.0021,1.4227,2,50,30.0
025,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,16029.38,255,10.4,0.2821,0.006,1.4562,0.001,0.001,1.7553,2,50,30.0
026,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15966.57,263,62.81,0.2829,0.009,1.4165,0.001,0.001,1.721,2,50,30.0
027,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15953.74,268,12.83,0.2852,0.007,1.5757,0.001,0.0,1.8759,2,50,30.0
028,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15953.07,275,0.68,0.2276,0.007,1.4262,0.0008,0.0,1.6719,2,50,30.0
029,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15953.07,277,0.0,0.3809,0.007,1.5402,0.0004,0.0011,1.9427,2,50,30.0
030,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,279,0.24,0.245,0.006,1.6211,0.0,0.001,1.8807,2,50,30.0
031,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,281,0.0,0.2252,0.007,1.5167,0.0011,0.0005,1.7585,2,50,30.0
032,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,283,0.0,0.3211,0.007,1.473,0.0,0.0,1.8116,2,50,30.0
033,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,285,0.0,0.2387,0.006,1.4726,0.0,0.0,1.7261,2,50,30.0
034,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,287,0.0,0.2362,0.006,1.5112,0.001,0.0,1.7634,2,50,30.0
035,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,289,0.0,0.2787,0.004,1.4595,0.0,0.0,1.7522,2,50,30.0
036,exp002_z50_k50_i9_tmax30.0_unfi_2025-08-16_13-32-52_l4_l4_30_l59_10_l60_12,2025-08-16 13:34:59,15952.83,291,0.0,0.2512,0.008,1.5947,0.0,0.001,1.8639,2,50,30.0
