Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
051,13_pop200,2025-10-29 03:37:34,114416.68,2598,59.43,1.3477,0.1328,8.1765,0.0062,0.0062,9.6662
052,13_pop200,2025-10-29 03:37:34,114083.99,2626,332.69,1.154,0.1421,9.0405,0.0125,0.0125,10.3511
053,13_pop200,2025-10-29 03:37:34,113853.05,2650,230.94,1.2434,0.1323,10.0354,0.0071,0.0071,11.4213
054,13_pop200,2025-10-29 03:37:34,113546.46,2677,306.59,1.1721,0.1114,7.93,0.0107,0.0107,9.2296
055,13_pop200,2025-10-29 03:37:34,113351.82,2704,194.64,1.2661,0.1136,9.5831,0.0082,0.0082,10.9741
056,13_pop200,2025-10-29 03:37:34,113131.39,2731,220.44,1.3819,0.1617,8.6155,0.0092,0.0092,10.1723
057,13_pop200,2025-10-29 03:37:34,112956.36,2751,175.02,1.3141,0.1378,8.7748,0.0082,0.0082,10.2369
058,13_pop200,2025-10-29 03:37:34,112766.34,2780,190.02,1.3318,0.1204,10.995,0.007,0.007,12.4553
059,13_pop200,2025-10-29 03:37:34,112412.16,2799,354.18,1.4207,0.1225,9.9021,0.0112,0.0112,11.4982
060,13_pop200,2025-10-29 03:37:34,112091.84,2828,320.32,1.2559,0.1363,8.9791,0.0071,0.0071,10.3816
061,13_pop200,2025-10-29 03:37:34,112352.43,2848,260.59,1.3314,0.1173,9.3746,0.0091,0.0091,10.8344
062,13_pop200,2025-10-29 03:37:34,112086.88,2871,265.55,1.3721,0.1024,8.7163,0.0131,0.0131,10.2069
063,13_pop200,2025-10-29 03:37:34,111758.27,2898,328.61,1.2738,0.1056,9.3832,0.0061,0.0061,10.7711
064,13_pop200,2025-10-29 03:37:34,111570.28,2928,187.99,1.3304,0.1697,9.0382,0.01,0.01,10.5685
065,13_pop200,2025-10-29 03:37:34,111445.22,2950,125.06,1.4414,0.1114,9.5741,0.0081,0.0081,11.1361
066,13_pop200,2025-10-29 03:37:34,111281.47,2977,163.75,1.3882,0.1077,9.348,0.0111,0.0111,10.858
067,13_pop200,2025-10-29 03:37:34,111122.95,3008,158.52,1.5377,0.1185,8.9243,0.0072,0.0072,10.5918
068,13_pop200,2025-10-29 03:37:34,110950.81,3045,172.14,1.3208,0.1034,12.0541,0.0076,0.0076,13.4894
069,13_pop200,2025-10-29 03:37:34,110720.71,3072,230.1,1.2467,0.1095,11.4411,0.016,0.016,12.818
070,13_pop200,2025-10-29 03:37:34,110567.94,3091,152.77,1.2359,0.1052,10.259,0.0123,0.0123,11.6145
071,13_pop200,2025-10-29 03:37:34,111229.44,3113,661.5,1.242,0.1107,7.7007,0.0091,0.0091,9.0661
072,13_pop200,2025-10-29 03:37:34,110816.49,3139,412.95,1.3322,0.1032,8.8867,0.008,0.008,10.3333
073,13_pop200,2025-10-29 03:37:34,110595.35,3160,221.14,1.457,0.1051,8.6677,0.0071,0.0071,10.2401
074,13_pop200,2025-10-29 03:37:34,110390.12,3177,205.23,1.3095,0.0982,9.5284,0.0112,0.0112,10.9504
