Iteration,Experiment,Time,Objective,Columns,Difference,RMP_time,Graph_time,SPFA_time,Label_time,Filter_time,Iteration_time
001,8_pop200,2025-10-29 01:58:20,152501.64,1519,1000000.0,0.7449,0.1651,18.2301,0.007,0.007,19.1502
002,8_pop200,2025-10-29 01:58:20,148727.73,1543,3773.91,0.7127,0.1715,15.0554,0.0181,0.0181,15.9622
003,8_pop200,2025-10-29 01:58:20,145673.57,1564,3054.16,0.9606,0.3946,14.5463,0.0129,0.0129,15.9301
004,8_pop200,2025-10-29 01:58:20,143420.32,1588,2253.25,0.7704,0.1703,12.3532,0.012,0.012,13.3079
005,8_pop200,2025-10-29 01:58:20,141524.09,1612,1896.23,0.8669,0.1624,12.5106,0.0112,0.0112,13.5562
006,8_pop200,2025-10-29 01:58:20,139390.21,1628,2133.88,0.6321,0.129,9.6555,0.0134,0.0134,10.4325
007,8_pop200,2025-10-29 01:58:20,138274.75,1649,1115.46,0.6418,0.1413,12.437,0.0066,0.0066,13.2292
008,8_pop200,2025-10-29 01:58:20,136815.38,1670,1459.37,1.4632,0.163,10.5312,0.007,0.007,12.1674
009,8_pop200,2025-10-29 01:58:20,135769.94,1694,1045.44,0.7131,0.1631,11.123,0.0096,0.0096,12.01
010,8_pop200,2025-10-29 01:58:20,134211.7,1718,1558.24,0.841,0.1436,11.3704,0.015,0.015,12.3719
011,8_pop200,2025-10-29 01:58:20,133008.26,1728,1203.44,0.7153,0.1398,10.747,0.0151,0.0151,11.6201
012,8_pop200,2025-10-29 01:58:20,132363.05,1742,645.22,1.0865,0.2355,10.707,0.0125,0.0125,12.0529
013,8_pop200,2025-10-29 01:58:20,131569.95,1764,793.1,1.7213,0.2594,10.1536,0.0145,0.0145,12.1544
014,8_pop200,2025-10-29 01:58:20,130520.98,1792,1048.97,0.7288,0.1259,10.6649,0.0148,0.0148,11.5369
015,8_pop200,2025-10-29 01:58:20,129820.93,1814,700.05,0.8494,0.1364,12.2876,0.0203,0.0203,13.2968
016,8_pop200,2025-10-29 01:58:20,129034.48,1827,786.45,0.8945,0.1465,10.9826,0.0249,0.0249,12.0552
017,8_pop200,2025-10-29 01:58:20,128388.84,1852,645.64,0.9517,0.1831,13.5753,0.012,0.012,14.7271
018,8_pop200,2025-10-29 01:58:20,127293.83,1878,1095.02,0.838,0.1625,12.4425,0.014,0.014,13.4596
019,8_pop200,2025-10-29 01:58:20,126627.96,1895,665.87,1.2569,0.1572,9.5516,0.01,0.01,10.9807
020,8_pop200,2025-10-29 01:58:20,126102.76,1926,525.2,0.771,0.1455,10.6547,0.013,0.013,11.5893
021,8_pop200,2025-10-29 01:58:20,125832.55,1946,270.21,0.8891,0.1423,11.1284,0.005,0.005,12.1683
022,8_pop200,2025-10-29 01:58:20,125345.84,1962,486.71,0.9464,0.1695,8.9768,0.013,0.013,10.1087
023,8_pop200,2025-10-29 01:58:20,124786.39,1978,559.45,0.8382,0.1255,8.7167,0.008,0.008,9.6915
024,8_pop200,2025-10-29 01:58:20,124066.49,2007,719.89,0.7947,0.1125,8.6561,0.0128,0.0128,9.5787
025,8_pop200,2025-10-29 01:58:20,123429.29,2030,637.2,0.8713,0.1165,9.6979,0.011,0.011,10.6982
026,8_pop200,2025-10-29 01:58:20,123011.2,2050,418.09,0.8455,0.1115,9.3358,0.014,0.014,10.3108
027,8_pop200,2025-10-29 01:58:20,122606.5,2071,404.7,0.9642,0.1229,11.0166,0.017,0.017,12.1247
028,8_pop200,2025-10-29 01:58:20,122155.88,2101,450.62,1.1229,0.126,10.7085,0.007,0.007,11.9695
029,8_pop200,2025-10-29 01:58:20,121602.17,2123,553.72,0.8432,0.1524,10.9065,0.009,0.009,11.9122
030,8_pop200,2025-10-29 01:58:20,120961.24,2144,640.92,0.8575,0.1281,9.1078,0.006,0.006,10.1033
031,8_pop200,2025-10-29 01:58:20,121286.52,2171,325.28,0.8176,0.1085,10.0649,0.013,0.013,11.009
032,8_pop200,2025-10-29 01:58:20,120651.22,2194,635.3,1.1022,0.1385,9.016,0.012,0.012,10.2718
033,8_pop200,2025-10-29 01:58:20,119775.74,2222,875.48,1.1373,0.1317,10.7632,0.008,0.008,12.0411
034,8_pop200,2025-10-29 01:58:20,119075.34,2258,700.4,1.0099,0.1425,9.4908,0.007,0.007,10.6523
035,8_pop200,2025-10-29 01:58:20,118398.56,2292,676.78,0.9529,0.1468,9.52,0.0105,0.0105,10.6333
036,8_pop200,2025-10-29 01:58:20,117900.66,2325,497.9,1.0663,0.1427,9.2877,0.009,0.009,10.5317
037,8_pop200,2025-10-29 01:58:20,117476.22,2348,424.44,1.2032,0.1485,8.7663,0.011,0.011,10.1327
038,8_pop200,2025-10-29 01:58:20,117098.72,2381,377.5,1.0968,0.1489,12.1046,0.012,0.012,13.3643
039,8_pop200,2025-10-29 01:58:20,116660.24,2408,438.49,1.1377,0.1701,8.6554,0.012,0.012,9.9792
040,8_pop200,2025-10-29 01:58:20,116345.07,2431,315.16,1.1507,0.2091,8.7895,0.006,0.006,10.1562
