experiment_name,step,metric,value,log_ids
a,solution_generation,solution_generation_time,9.35642957687378,202509022040360946440
a,solution_generation,number_of_columns,206.0,202509022040360946441
a,solution_generation,tmax,960.0,202509022040360946442
a,solution_generation,solution_generation_time,6.528618812561035,202509022040428164990
a,solution_generation,number_of_columns,178.0,202509022040428164991
a,solution_generation,tmax,960.0,202509022040428164992
0,genetic_algorithm,ga_execution_time,94.50059843063354,202509022042173287810
0,genetic_algorithm,best_fitness,0.017976593301660106,202509022042173287811
0,genetic_algorithm,best_cost,3.6306818181818183,202509022042173287812
0,genetic_algorithm,best_v,176.0,202509022042173287813
0,genetic_algorithm,best_r,59.0,202509022042173287814
0,genetic_algorithm,best_u,47.0,202509022042173287815
0,genetic_algorithm,best_s,107.0,202509022042173287816
